"Sku Id","Title","Rack Space","Good","Bad","Picked"
"19568-Beige-4XL","Beige Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19569-Beige-4XL","Beige Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19570-Magenta-5XL","Magenta Crepe Relaxed Fit Shirt with Curved Hemline","9-J","1","0",""
"19571-Magenta-5XL","Magenta Crepe Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19572-Yellow-5XL","Yellow Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19573-Yellow-5XL","Yellow Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19579-Magenta-5XL","Magenta Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19580-Pink-5XL","Pink Cotton Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19583-Lavender-5XL","Lavender Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19584-Lavender-5XL","Lavender Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19599-Black-5XL","Black Crepe Relaxed Fit Shirt with Curved Hemline","9-N","1","0",""
"19599-Black-XL","Black Crepe Relaxed Fit Shirt with Curved Hemline","45-R","1","0",""
"19600-Black-5XL","Black Crepe Regular Fit Pant with Straight Hemline","9-N","1","0",""
"19600-Black-XL","Black Crepe Regular Fit Pant with Straight Hemline","45-Q","1","0",""
"19617-Black-S","Black Satin Loose Fit Dress with Flared Hemline","Virtual","1","0",""
"19618-Black-S","Black Net Regular Fit Shrug with Straight Hemline","Virtual","1","0",""
"19639-Blue-XL","Blue Cotton Loose Fit Dress with Curved Hemline","19-C","1","0",""
"19640-Yellow-3XL","Yellow Cotton Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19649-Blue-3XL","Blue Linen Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19649-Blue-4XL","Blue Linen Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19649-Blue-5XL","Blue Linen Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19677-Maroon-2XL","Maroon Crepe Regular Fit Shirt with Curved Hemline","Default","2","0",""
"19677-Maroon-XS","Maroon Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19691-Pink-S","Pink Rayon Relaxed Fit Kaftan with Straight Hemline","Default","1","0",""
"19691-Pink-XL","Pink Rayon Relaxed Fit Kaftan with Straight Hemline","Assign Rack","1","0",""
"19692-White-2XL","White Poplin Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
"19692-White-3XL","White Poplin Regular Fit Shirt with Asymmetric Hemline","Default","1","0",""
"19692-White-3XL","White Poplin Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
"19692-White-5XL","White Poplin Regular Fit Shirt with Asymmetric Hemline","Assign Rack","1","0",""
"19692-White-L","White Poplin Regular Fit Shirt with Asymmetric Hemline","Assign Rack","2","0",""
"19692-White-M","White Poplin Regular Fit Shirt with Asymmetric Hemline","Virtual","2","0",""
"19692-White-XL","White Poplin Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
"19724-Olive-L","Olive Silk Blend Loose Fit Kaftan with Straight Hemline","39-H","1","0",""
"19728-Magenta-5XL","Magenta Silk Blend Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19751-Black-L","Black Satin crush Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19761-Royal Blue-3XL","Royal Blue Sherpa Fleece Regular Fit Jacket with Straight Hemline","7-A","1","0",""
"19773-Green-4XL","Green Fleece Regular Fit Sweatshirt with Straight Hemline","8-D","1","0",""
"19929-Beige-2XL","Beige Poplin Regular Fit Shirt with Asymmetric Hemline","Virtual","1","0",""
