"Sku Id","Title","Rack Space","Good","Bad","Picked"
"19347-Navy-4XL","Navy Crepe Regular Fit Top with Asymmetric Hemline","Virtual","2","0",""
"19435-Multi-5XL","Multi Crepe Regular Fit, Loose Fit Shrug with Straight Hemline","Virtual","1","0",""
"19441-Other-2XL","Other Moss Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19442-Turquoise-M","Turquoise Silk Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19476-Yellow-M","Yellow Rayon Loose Fit Shirt with Curved Hemline","Virtual","1","0",""
"19534-Pink-5XL","Pink Cotton Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19534-Pink-M","Pink Cotton Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19535-Blue-4XL","Blue Cotton Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19541-Pink-M","Pink Cotton Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19552-Black-3XL","Black Moss Crepe Regular Fit Top with Curved Hemline","17-H","1","0",""
"19567-Black-5XL","Black Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19568-Beige-5XL","Beige Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19569-Beige-5XL","Beige Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19570-Magenta-2XL","Magenta Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19570-Magenta-4XL","Magenta Crepe Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19575-Green-5XL","Green Crepe Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19576-Black-5XL","Black Rayon Loose Fit Top with Straight Hemline","Virtual","1","0",""
"19580-Pink-5XL","Pink Cotton Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19583-Lavender-5XL","Lavender Rayon Relaxed Fit Shirt with Curved Hemline","Virtual","1","0",""
"19584-Lavender-5XL","Lavender Rayon Loose Fit Shorts with Straight Hemline","Virtual","1","0",""
"19587-White-5XL","White Cotton Slub Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19605-Magenta-2XL","Magenta Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19605-Magenta-4XL","Magenta Crepe Regular Fit Pant with Straight Hemline","9-J","1","0",""
"19605-Magenta-5XL","Magenta Crepe Regular Fit Pant with Straight Hemline","Virtual","1","0",""
"19625-Black-3XL","Black Crepe Loose Fit Top with Curved Hemline","Virtual","1","0",""
"19630-Blue-4XL","Blue Moss Crepe Regular Fit Shirt with Curved Hemline","45-O","1","0",""
"19637-Pink-XL","Pink Crepe Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19639-Blue-3XL","Blue Cotton Loose Fit Dress with Curved Hemline","19-C","1","0",""
"19649-Blue-XL","Blue Linen Loose Fit Dress with Curved Hemline","Virtual","1","0",""
"19667-Black-4XL","Black Crepe Loose Fit Shirt Dress with Curved Hemline","Virtual","1","0",""
"19669-White-5XL","White Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19673-Black-3XL","Black Crepe Regular Fit Shirt with Asymmetric Hemline","19-N","1","0",""
"19677-Maroon-4XL","Maroon Crepe Regular Fit Shirt with Curved Hemline","19-N","1","0",""
"19677-Maroon-5XL","Maroon Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19697-Navy-3XL","Navy printed tie top","Virtual","1","0",""
"19697-Navy-5XL","Navy printed tie top","Virtual","1","0",""
"19700-Black-L","Abstract print color block shirt dress","Virtual","1","0",""
"19751-Black-2XL","Black Satin crush Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19753-Royal Blue-L","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","2","0",""
"19753-Royal Blue-XL","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","2","0",""
"19753-Royal Blue-XS","Royal Blue Moss Crepe Regular Fit Shirt with Curved Hemline","Virtual","1","0",""
"19785-Green-2XL","Green Silk Blend Regular Fit shirt with Curved Hemline","Virtual","1","0",""
"19785-Green-XL","Green Silk Blend Regular Fit shirt with Curved Hemline","Virtual","1","0",""
"19827-Pink-2XL","Pink Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19829-Wine-5XL","Wine Crepe Regular Fit Top with Curved Hemline","Virtual","1","0",""
"19977-Black-2XL","Black Lycra Relaxed Fit Pant with Straight Hemline","Virtual","1","0",""
"24021-Green-L","Green Silk Loose Fit Dress with Curved Hemline","37-O","1","0",""
